[2024-09-25 17:08:36] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-09-25 17:08:36] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, create_zip_archive, wrapup
[2024-09-25 17:08:36] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-09-25 17:08:37] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-09-25 17:08:37] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-09-25 17:08:37] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-09-25 17:08:37] [class-ss-setup-task.php:33] Creating archive directory: C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116\
[2024-09-25 17:08:37] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/skallar/
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.min.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:8; Total: 573
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f4439956679-ymnPJv.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.min.css?simply_static_page=43
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.min.css?simply_static_page=43
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 318 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.min.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f4439956679-ymnPJv.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse.min.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:f542c08918c035480e8de6785ec9d32336c23313===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:7; Total: 573
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f443995cb03-7Thuaf.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.css?simply_static_page=44
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.css?simply_static_page=44
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 349 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f443995cb03-7Thuaf.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:a04a848c0af699962fd62d4b837722b87b5972d0===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.min.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:6; Total: 573
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f4439961ec6-GSlX6z.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.min.css?simply_static_page=45
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.min.css?simply_static_page=45
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 306 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.min.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f4439961ec6-GSlX6z.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-push.min.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:c6724da9f417db70c6058a5cd803a3337627dfd5===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:5; Total: 573
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f4439966ea7-c9x8T2.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.css?simply_static_page=46
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.css?simply_static_page=46
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 228 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f4439966ea7-c9x8T2.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:9f1e798287c8823d02dec9596ef04b221642b844===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.min.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:4; Total: 573
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f443996c269-hSvm40.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.min.css?simply_static_page=47
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.min.css?simply_static_page=47
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 208 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.min.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f443996c269-hSvm40.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-rotate.min.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:bcacf78c3c86ae4f8cf95248b5859070327aa5e6===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:3; Total: 573
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f44399718ba-Vc2odB.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.css?simply_static_page=48
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.css?simply_static_page=48
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 226 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f44399718ba-Vc2odB.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:e356821711739bf18e2cca7d24b146096e2a6df7===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:2; Total: 573
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f4439976794-sVUhqu.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css?simply_static_page=49
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css?simply_static_page=49
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 205 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f4439976794-sVUhqu.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-shrink.min.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:d24239ce3368865de4cec69f92452f02efddf77e===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:1; Total: 573
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f443997b585-pAIpQW.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.css?simply_static_page=50
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.css?simply_static_page=50
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 262 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f443997b585-pAIpQW.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:866924292c7de26caba765a1dca28dff940cc29c===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-task.php:44] Status message: [fetch_urls] Fetched 0 of 573 pages/files
[2024-09-25 17:08:41] [class-ss-archive-creation-job.php:181] We're not done with the fetch_urls task yet
[2024-09-25 17:08:41] [class-ss-archive-creation-job.php:136] Current task: fetch_urls
[2024-09-25 17:08:41] [class-ss-archive-creation-job.php:153] Performing task: fetch_urls
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:69] Total pages: 608; Pages remaining: 558
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.min.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:50; Total: 608
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f443998206b-xuS2gL.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.min.css?simply_static_page=51
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.min.css?simply_static_page=51
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 239 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.min.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f443998206b-xuS2gL.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-sink.min.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:d1c62cd630b495a3e6132cdb51cc3efc2f7c40f5===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:49; Total: 608
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f443998735d-U3WQjj.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.css?simply_static_page=52
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.css?simply_static_page=52
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 282 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f443998735d-U3WQjj.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:e7e1c1450dd91120c7356819fa50c86e98d797c9===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.min.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:48; Total: 608
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f443998c341-ddCwvR.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.min.css?simply_static_page=53
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.min.css?simply_static_page=53
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 259 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.min.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f443998c341-ddCwvR.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-backward.min.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:31bb8cd8bcce249832de81149d61da49636820b5===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:47; Total: 608
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f4439990fcc-AMp9a0.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.css?simply_static_page=54
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.css?simply_static_page=54
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 279 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f4439990fcc-AMp9a0.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:3a03840cb39ba07c792a6c4d01ccf7e5eb255d73===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:46; Total: 608
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f4439995d4f-FKXgtJ.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css?simply_static_page=55
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css?simply_static_page=55
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:103] Filesize: 256 bytes
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:119] http_status_code: 200 | content_type: text/css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:233] New filename for static page: /wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:143] Renaming temp file from C:\Users\brend\AppData\Local\Temp/66f4439995d4f-FKXgtJ.tmp to C:\xampp1\htdocs\skallar/wp-content/uploads\simply-static\temp-files/simply-static-1-1727284116/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew-forward.min.css
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:152] Extracting URLs and replacing URLs in the static file
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:159] Adding 0 URLs to the queue
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:170] We're saving this URL; keeping the static file
[2024-09-25 17:08:41] [class-ss-page.php:119] Checking Content Identical:c6dd2b6588e903848aea0d9198456b488080c92e===. Value: FALSE
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:72] URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.css
[2024-09-25 17:08:41] [class-ss-task.php:58] [PAGES STATUS] Remaining:45; Total: 608
[2024-09-25 17:08:41] [class-ss-fetch-urls-task.php:83] URL is not being excluded
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:94] Fetching URL and saving it to: C:\Users\brend\AppData\Local\Temp/66f443999ab59-wbiSeR.tmp
[2024-09-25 17:08:41] [class-ss-page-handler.php:38] URL Prepared:http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.css?simply_static_page=56
[2024-09-25 17:08:41] [class-ss-url-fetcher.php:251] Fetching URL: http://localhost/skallar/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-skew.css?simply_static_page=56
